title,company,location,description,date
Data Scientist,"Parks, Experiences and Products","Celebration, FL 34747","[   Solutions   Build predictive models on consumer &amp; guest behavior; examples include: likelihood to purchase, likelihood to engage with a particular marketing message, or estimating spend   Conduct statistical experiments to measure the effectiveness of our analytic products   Produce analytic insight to help answer business questions using exploratory data analysis or by interpreting model results   Consulting   Meet with partners to understand business requirements and goals   Identify opportunities to develop or use analytics to meet a business objective   Educate partners on the proper use of the developed models   Showcase insights and solutions to partners that highlights added business value   Work with technical partners to identify issues with or new requirements for data     This role requires demonstrated experience and expertise applying data science modelling techniques and proper statistical testing methodology to guest behavior (resorts, cruises, theme park tickets &amp; passes, merchandise, etc.) and marketing engagement. The applicant should be a self-starter who can act freely to plan, research, and deliver analytic solutions.   Experience using programming or statistical tools to build predictive models and to conduct statistical testing with sound experimental design   Demonstrated proficiency in retrieving data using SQL on platforms like Teradata or Hive   Demonstrated proficiency in transforming data from disparate sources for analytic use   Solid written and verbal communication skills with the ability to translate how data science techniques can be applied to business opportunities     Demonstrated proficiency using Python or R     Bachelor’s degree in Data Science, Statistics, or similar degree   Master's degree in Data Science, Statistics, or similar degree    TEAM  The Customer Engagement Platform (CEP) team delivers compelling relevant messages across marketing channels by leveraging data and tools. The CEP team resides in the Global Marketing &amp; Sales organization within Walt Disney Parks &amp; Resorts, Experiences, &amp; Product (DPEP) and plays a vital role in marketing campaign activation. The Platform Analytics team leads analytics, business intelligence (BI), and digital tagging strategy and execution for marketing campaigns. The team focuses on improving audience, messaging, and channel strategies using data-driven insights. We accomplish this via developing analytic &amp; BI products, working with internal Disney partners, and using external vendors.    ROLE  This role, Data Scientist, consists of two functions: building analytic solutions and consulting with partners including leadership. This cast member will primarily focus on delivering analytic solutions. They will employ data science modelling techniques to build predictive models on consumer &amp; guest behavior. They will also apply statistical analysis to validate the effectiveness of using these models or analytically-derived audiences in marketing campaigns. Their secondary focus will be consulting. Here they will work with key partners to identify how analytics can aid the business, to implement solutions into marketing operations, and to present analytic insight to partners &amp; leadership.     Required Education :    Bachelor’s degree in Data Science, Statistics, or similar degree   Preferred Education :      This role requires demonstrated experience and expertise applying data science modelling techniques and proper statistical testing methodology to guest behavior (resorts, cruises, theme park tickets &amp; passes, merchandise, etc.) and marketing engagement. The applicant should be a self-starter who can act freely to plan, research, and deliver analytic solutions.   Experience using programming or statistical tools to build predictive models and to conduct statistical testing with sound experimental design   Demonstrated proficiency in retrieving data using SQL on platforms like Teradata or Hive   Demonstrated proficiency in transforming data from disparate sources for analytic use   Solid written and verbal communication skills with the ability to translate how data science techniques can be applied to business opportunities      Company Overview :    English   ]",12-30-2019
Data Engineer,Untitled LLC,"Louisville, KY 40202","[    Posting: Effective Immediately   Salary Range: $65-80K+    222 S. First Street, Suite 201  Louisville, Kentucky 40202        Job Overview    Untitled is seeking a data engineer to join our growing team. The ideal candidate is equally a data wrangler and data pipeline builder. We are looking for an individual who can work in a variety of environments, and can effectively execute on complex and diverse problems.    A data engineer at Untitled will be responsible for assisting in implementations of data pipelines in other companies’ environments. The candidate would have some familiarity of working in a consulting capacity for companies, and have cut their teeth in digital transformations or data migrations for organizations in the past.    It is paramount that an Untitled data engineer has relevant experience in data science, business analytics and statistics. They must be able to approach each unique problem with a holistic view of the organizations we are working with, and have the ability to prescribe optimal solutions and stacks for each company. Our goal is that this data engineer can grow into a team lead that guides our analysts and data scientists on efficient and automated paths to success.    Responsibilities    Build and support data-pipelines in Untitled clients’ environments   Assemble large complex data sets   Build infrastructure for optimal extraction, transformation, and loading from a wide variety of data sources and environments. Must be able to automate ETL tasks and data-jobs at enterprise scale   Connect and support data sources that flow into data warehouses   Connect and support data warehouses that flow into business analytics tools such as PowerBI and Tableau   Work alongside Data Scientists and Analysts to assist in wrangling, assembling, cleaning, and loading data into workable environments and analytics tools   Must be able to accurately scope projects end-to-end, and have flexibility regarding solution implementations given client budget constraints, time constraints, and organizational bandwidth   Must be able to communicate with non-technical team members, in order to facilitate accurate project tracking and management of client/stakeholder expectations    Qualifications    Specialization: Generalist or Pipeline-centric   Programming Languages: SQL, Python, Java, Go, Scala, C++, R   Skills: Data wrangling from APIs, ETL scripting and automation, database design, deep understanding of Information Architecture, experience in a multitude of data warehouses and environments   Environments: AWS, Azure, Google BigQuery, Salesforce, Anaconda, Apache Frameworks, Jupyter Notebooks   AWS Cloud: S3, Redshift, Athena, EC2, RDS, Glacier, EMR   Database Expertise: both SQL and NoSQL databases   2-5 years professional experience. Undergrad degree preferred but NOT required.   BONUS:   Experience in Analytics Platforms: PowerBI, Tableau, Periscope Data   Machine Learning production-level implementations       If you believe you qualify for the above job description, please contact Untitled. We look forward to reviewing your application.    ]",12-30-2019
Big Data Engineer,Vertical Trail,"Chicago, IL","[    Vertical Trail LLC  is a rapidly growing, Chicago-based solutions provider with a mission to help our clients accelerate innovation by deploying advanced analytics solutions in the cloud.  We are looking for bright and passionate individuals to become an integral part of our advanced analytics team. Our Big Data Engineer will focus on using modern technologies to transform mountains of data into meaningful insights.  As a key part of our specialized delivery team, the Big Data Engineer will work onsite with our clients directly - as well as remotely - to deliver full lifecycle solutions.   Are you our next Big Data Engineer? Let’s find out!   Our Big Data Engineer will… ** · Assist with development and data management tasks as needed to support Big Data and analytics projects  · Work closely with developers, consultants, and business analysts to understand needs  · Design, build, and launch new data extraction, transformation, and loading processes in production  · Assist with the design, build, and launch of new production data models  · Support existing processes running in production  · Perform Hadoop cluster maintenance  · Monitor cluster connectivity and security  · Develop scripts and tools to automate common administration tasks  · Troubleshoot data load, transformation scripts, and performance issues   Our Big Data Engineer must have…   · A 4-year Computer Science, Engineering, Math, or Analytics degree  · 2+ years of data engineering or database support experience  · 1-2 years of Scala / Java development experience  · 1+ years of experience with Hadoop-based system support   Other helpful knowledge / experience includes…   · Cloudera Suite (including Cloudera Manager and/or Cloudera Director)  · Cloud computing infrastructure (e.g., Amazon Web Services, Azure)  · Exposure to (or experience with) Linux Administration  · Exposure to (or experience with) AWS or Azure cloud  Candidates must be local to the Chicago area and must be able to work for Vertical Trail as a W2 employee (Vertical Trail is not considering 3rd party or contract candidates for this role).  Employment with Vertical Trail is an exciting opportunity that offers ample avenues for professional growth and development, as well as features including:   Flexible Work Environment   Informed by client needs and optimal work / life balance, work locations for this role may include:  · Remote work from your home office  · A dedicated Vertical Trail office in Schaumburg, IL  · Collaborative office space in downtown Chicago  · Client sites (as needed)   Attractive Benefits   · Comprehensive Health, Dental, and Vision insurance  · Employer-paid Life and Disability insurance  · 401(k) / Retirement Plan  · Professional Development Plan  Job Type: Full-time  Experience:   Big Data: 3 years (Required)   Additional Compensation:   Bonuses   Work Location:   Multiple locations  Fully Remote   Benefits:   Health insurance  Dental insurance  Vision insurance  Retirement plan  Paid time off  Flexible schedule  Professional development assistance   Visa Sponsorship Potentially Available:   No: Not providing sponsorship for this job   This Job Is Ideal for Someone Who Is:   Dependable -- more reliable than spontaneous  Achievement-oriented -- enjoys taking on challenges, even if they might fail  Autonomous/Independent -- enjoys working with little direction   This Company Describes Its Culture as:   Innovative -- innovative and risk-taking  Outcome-oriented -- results-focused with strong performance culture  Team-oriented -- cooperative and collaborative   This Job Is:   Open to applicants who do not have a college diploma   Schedule::   Monday to Friday    ]",12-30-2019
Data Engineer I,FOCUSRX,"Omaha, NE","[     Summary:  The Data Engineer I’s role is to define, develop, test, analyze, and maintain ETL solutions in support of the achievement of business requirements. They will work with the data architecture team designing the ETL process and exception handling. This position will also be responsible for ensuring data governance practices and data quality are followed.         Education/Experience:     Bachelor's degree and a minimum of two years related experience in an ETL environment; data integration and EDW design skills in a SQL Server environment required. Knowledge of analytics and integration tooling required. In lieu of a Bachelor’s degree, High School Diploma or GED required and 8 years of related experience in an ETL environment; data integration and EDW design skills in a SQL Server environment required. Knowledge of analytics and integration tooling required.         Duties and Responsibilities  include the following. Other duties may be assigned.     Develops and tests extraction, transformation, cleansing, and load (ETL) processes;   Adapts ETL processes to accommodate changes in source systems and new business requirements   Maintain and enhance existing ETL, and cleansing processes to improve efficiency   Assist with ongoing maintenance and organization of the ETL repositories and metadata   Manage ETL defects, enhancements, and new functionality requests to meet changes in the business needs   Assist Quality Assurance teams in developing test scripts and test plans for validating the quality/integrity of loaded data   Provide post-conversion/post-migration support and perform functional/data discrepancy analysis as needed   Document all processes and mappings related to ETL work and follow development best practices as adopted by the Data Architecture team.   Participate in code reviews, software releases, and system upgrades   Has knowledge of commonly-used concepts, practices, and procedures within data and programming fields.   Working towards understanding of pharmacy business strategy and how that relates to software solutions.          Qualifications:     To perform this job successfully, an individual must be able to perform each essential duty satisfactorily. The requirements listed are a representative of the knowledge, skill, and/or ability required. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.         Language Ability:     Ability to read, analyze, and interpret general business periodicals, professional journals, technical procedures. Ability to write reports, business correspondence, and procedure manuals. Ability to effectively present information and respond to questions from groups of managers, clients, customers, and the general public.         Math Ability:     Ability to comprehend and apply principles of modern algebra while analyzing data and generating reports.         Reasoning Ability:     Ability to apply principles of logical thinking to a wide range of intellectual and practical problems.         Computer Skills:     To perform this job successfully, an individual should have knowledge of Microsoft products and programming skills in languages and frameworks as mentioned. Individual should be familiar with SQL Server, Oracle, Talend, source control tools such as GIT or Subversion, JIRA, and ServiceNow.         Knowledge, Skills and Other Abilities:      Time management   Oral and written communication skills   Professionalism   Ability to be proficient with technologies used at Diplomat   Analytical skills   Problem solving skills   Organizational skills   Ability to have a positive work attitude   Detail oriented   Ability to multi-task   Ability to work well with various personalities and within a team   Participate in continuous quality improvement activities   Experience with relational and non-relational databases, both logical and physical   Experience in data analysis, defect identification and resolution   Proficient with ETL processes, including ability to design and develop mappings, workflows and identify areas of optimization            Physical Demands:     The physical demands described here  a re representative of those that must be met by an employee to successfully perform the essential functions of this job. Reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions.    While performing the duties of this job, the employee is regularly required to talk or hear. The employee is frequently required to walk; sit and use hands. The employee is occasionally required to stand.         Equal Employment Opportunity and Affirmative Action:  Diplomat provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics. In addition to federal law requirements, Diplomat complies with applicable state and local laws governing nondiscrimination in employment in every location in which the company has facilities. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.         Acknowledgment:     This job description has been designed to indicate the general nature and level of work performed by employees within this classification. It is not designed to contain or be interpreted as a comprehensive inventory of all duties and responsibilities required of employees assigned to this role.    ]",12-30-2019
Senior Data Engineer / Researcher,Alternative Data Group,"New York, NY 10019","[       Senior Data Engineer / Researcher     Responsibilities:     Identifying, ingesting, and enriching a wide range of structured and unstructured big data into datasets for analysis;   Operating and extending the data infrastructure platform to deliver production-grade data curation and analysis services;   Thinking and acting as data integrity managers - amplifying data quality and completeness with a process-driven approach and measurement dashboards;   Owning end-to-end data workflows and developing deep domain expertise on the underlying actors and behaviors manifested through data;   Communicating data-driven analysis and insights in the form of “golden triangle” investment insights that supports our clients investment process.     Requirements:     Master’s degree or PHD in Mathematics, Finance, Computer Science, Engineering or related fields.   5+ years of experience working with large structured and unstructured datasets.   Expertise in Python and data analysis tools and languages (PyData, R, Julia, Matlab, Tableau).   Expertise in SQL and relational databases.   Deep intellectual curiosity and passion for data.   Excellent problem solving, communication, and analytical skills.   Eagerness to work in an evolving and fast-paced environment.   While financial industry experience is a plus, we are open-minded in our search for critical thinkers who are passionate about technology and data.   Proven track record of working with and managing junior researchers and developers        If you are interested in any of these opportunities, please use the form below to contact our recruiting team or email us at:     careers@altdg.com     ]",12-30-2019
Data Engineer,xentity corporation,"Denver, CO","[    Our Government and Large Commercial high-profile clients are high-tech organizations with programs in science, technology, engineering and math. For these positions, they are asking for us to provide data analysts that are passionate about transforming and making data usable for new services, business models, and to help economic development. We are looking for people that believe data is the new gold.   We are looking for data analysts, data wranglers, data scientists with excellent leadership, technical, and subject matter expertise qualities. We have projects lining up developing research-grade science data algorithms from in-situ sensors to bringing together data sources from disparate sub-agencies into enterprise platforms to make available on open-data platforms. We have projects that are creating data and bigdata prototypes whether it be on CartoDB geospatial, D3 Sankeys and various libraries, feeding and harvesting RDF Triplets into catalogs, or integrating into SEO environments. Admittedly, we have some less sexy data wrangling and janitor tasks that will require more ETL skills to hone in on.   To boot, we want our analysts to be natural change agents and passionate about change while empathetic to the clients environment on how they leverage, mature, and incorporate data products, services, and new capabilities. We want leaders who can both support the influence of the right change direction while managing the technical and business analysis and design, and are skilled and self-motivated with solid domain/subject matter expertise.   Our analysts will be on teams that, through facilitated analysis, work shoulder-to-shoulder with teammates to come up with the conceptual and logical design and architecture. Analysts will also be working very closely with client staff or system integrators to rapidly implement changes or agile release. Furthermore, we devise and craft strategies and communications solutions to broadcast and brag about their change efforts and results. This is what we do – we bring transformations to life.   Position Requirements:  You will be expected to rapidly ramp-up on client lingo, proactively make observations of patterns, anomalies, problems, and be customer service focused. You will be expected to be highly self-motivated and understand you will be held accountable to commitments. We look for decisive individuals able to rapidly respond to change requests and able to communicate, track, and escalate risk. We expect you to be proactive, efficient, and ready to learn quickly in response to all client and team member needs. This is a bootcamp-type position setup for growth.   We want you to not only gain technical skills, but also grow your interactive and client facing skills. All roles will require strong communication and interactive skills - oral, written, visual especially for triaging conflict, ideation barriers, mitigating risk, foster thought diversity and team environment. We expect all our roles to have a mastery of their technical level at their role whether that be in architectural methods, languages, work products, consulting techniques, and client culture. If they are not, they need to demonstrate how they are VERY fast learners.   For the technical prowess, we will want you to demonstrate your data science nerd-dom and technology stack as part of normal vernacular in one or many of these stacks (well, technologies in these stacks depending on the project). Of course, by no means do we expect all of the technologies, but prowess in one of the stacks:     Data Transformation – ETL, perl, python, SQL, FTP, Informatica, SAFE/FME, Kettle, GeoKettle    - Machine Learning - Markov or Markov Chain, Naive Bayes, N-Grams, Levenshtein distance or Damerau-Levenshtein distance, Fuzzy Search, NLP,    Algorithm Development and Visualization – R, Octave, MatLAB, OpenCV, Viola-Jones Haar-Cascade     Geospatial Transformation – GEOJson, CartoDB, K-Means, Nearest Neighbor, Anselin Local Moran's, Monte Carlo Simulation, Mantel Index, Standard Deviational Ellipse, GeoServer, ESRI, ESRI/Hadoop, PostGIS     Web BI – NodeJS, PHP, Web JavaScript libs like jQuery, ExtJS, D3JS, R Project, HTML5, CSS3, Many more.     NoSQL – MongDB, Hadoop, CouchDB, Solr, ElasticSearch    From a skillset of functions, our data science analysts would need to have a strong focus in one or more of these core areas:   - Open Data User Experience - Someone who has gathered public data and used it in a project (and/or application), is aware that there is an industry wide 'current debate' about open data, and has filed a CORA/FOIA request to gather data.   - Analysis - Someone who can 'read' a dataset and 'tell its story' - top points for ""food desert analysis"", ""restaurant inspections analysis"", ""bike trails routing analysis"" - or any other specific ""human geography"" and/or ""land use"" analysis. Ideally this person can use tools like GIS/RS, Tableau, Carto, D3, JavaScript, Python, Adobe Photoshop, Adobe Illustrator.   - Manual Data Entry - Has an eye for detail and has patience to meticulously check and double check others' data entry, and a desire to work with metadata. Can work in Excel and Google Sheets.   - Data Wrangling - Can manipulate and verify transformations on data, also has general knowledge of coding languages, can read/edit JavaScript, SQL, Python, Ogr2Ogr, GDAL.   - Database Administration - Has a basic familiarity with relational database and geodatabase structures, organizing and maintaining data, metadata.   Finally, our data science analysts will need to meet the following:    1 year of consulting experience – higher compensation for additional 3 more years in related analytical work products and additional 2 more years in subject matter     Could pass ad-hoc technical and whiteboard test given various data ETL and other patterns of real-time, large data, data cleanup, etc. scenarios     For public sector work, our work is traditionally unclassified, but will require certain amount of background, reference, and other checks     Travel will be maximum 20%     We emphasize a balance of work and life and target 40-50 hour weeks with ample times to refresh with great paid-time off.         We do NOT currently have an opening.:     We review our requirements quarterly and this could change. We like to plan ahead in finding amazing talent.:     About Xentity:    We are a fast-growing data consulting and support services firm - focused on large data programs in data types such as geospatial, open, big, and IoT data. Check out www.xentity.com to learn about our focus, services, clients, missions, values as well as our excellent benefits package and career information.   We have high profile clients and projects that our staff really delivery for, as well enjoy knowing they make a large difference.   Our President has a vision to continue to focus on solutions that transform the Next Generation. Using data integration, knowledge solutions, and amazing increases in computing to impact energy, geosciences, land management, we can bring quality and simplifications to existing and new data flow! Imaging being on a team that brings advanced concepts like high performance computing, AI, data science, fuzzy logic, changing interfaces human-computer points mobile or augmented reality and many more disruptions. This truly can put the I back in IT and GIS.... by concentrating on pragmatic knowledge-first data designs, leadership and management, and the all too forgotten focus on outreach and engagement strategies and solutions.    More can be found at careers.xentity.com    ]",12-30-2019
Senior Data Engineer,"Holler Technologies, Inc.","New York, NY 10018","[   At Holler, data is critically important in what we do. That’s why we’re looking for a smart and clever Senior Data Engineer to help drive development of how we model, process, and productize our data.  A successful candidate for this position will be working closely with other back end engineers to clusters to support Holler’s new product that enhances the intimacy of brand-consumer relationship through patent-pending innovative technologies. You will be utilizing multiple data storage platforms to build a scalable, secure and reliable system and constantly exploring new technologies to enhance its capacities.  Our data pipeline uses the standards in contemporary data processing which include:   Scripting – Scala, Go, Python, Java  Data Processing – Spark, Storm, Kafka, Databricks  Data Storage – ElasticSearch, Redis, Redshift   Responsibilities:   Be an architect and owner. Design and own core components of data infrastructure. We’ll Understand new technologies and evaluate how they may advance our suite of content, data and advertising products.  Be a principal contributor. Innovate on our existing tech stack to launch features with our product teams, conduct A/B test, write tests, and do everything else needed to have robust services.  Be a maverick. Seek to exploit any efficiency to process more data, faster.  Be heads-down. Our team is structured to minimize context switching so you can focus on doing what you do best – writing clean code that creates business value.   Minimum Qualifications:   At least 5 years of experience in developing server applications that were deployed to an active user base for commercial or academic use  Deep knowledge of Scala (or Java with a strong desire to learn Scala)  Experience working with big data technologies especially Storm, Spark and Kafka  Experience working with distributed search platforms e.g. ElasticSearch/Solr   Holler is proud to be an Equal Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, sex (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender, gender identity, gender expression, transgender status, sexual stereotypes, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics. We also consider qualified applicants with criminal histories, consistent with applicable federal, state and local law. Holler is committed to providing reasonable accommodations for candidates with disabilities in our recruiting process. If you need any assistance or accommodations due to a disability, please let us know.  Job Type: Full-time  Salary: $150,000.00 to $160,000.00 /year  Experience:   Scala: 1 year (Preferred)  Data Engineering: 5 years (Required)  Java: 1 year (Preferred)  Distributed Search Platforms: 1 year (Preferred)  Big Data: 1 year (Preferred)   Work Location:   One location   Benefits:   Health insurance  Dental insurance  Vision insurance  Retirement plan  Paid time off  Parental leave  Professional development assistance   This Company Describes Its Culture as:   Innovative -- innovative and risk-taking  Outcome-oriented -- results-focused with strong performance culture  Team-oriented -- cooperative and collaborative   Schedule::   Monday to Friday    ]",12-30-2019
Data Engineer,SingleStone,"Glen Allen, VA 23060","[    Data Engineers   collect, analyze and study data for interpretation and analysis. Adept at validating data completeness, consistency, and accuracy. Data Engineers also collaborate with project teams and client stakeholders to understand, question and validate information. With strong analytical and troubleshooting skills, they’re adept at analyzing and formulating recommendations based on a variety data sources and techniques.   Data Engineers have strong analytical and problem solving skills, often tapped to identify root causes and develop recommendations on how to resolve issues.   We expect you to have most of the following:    At least 5 years of experience with SQL   2-5 years of AWS experience   Deep understanding of data (structured and unstructured), including RDBMS and NoSQL systems   Excellent verbal and written communication skills     At least 2-3 years of experience with one of the following:    Python   Java   Scala     Experience with one or more of the following:    Kafka   Spark Streaming   Flink   Flume     Desired:    Experience building data pipelines in Apache Airflow/Luigi or any other data pipeline/orchestration tool (e.g. Oozi, Nifi)   Familiarity with data munging for machine learning / data science   Experience working directly with ML teams      SingleStone provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability or genetics.     ]",12-30-2019
Data Engineer III,Inland Empire Health Plans,"Rancho Cucamonga, CA 91730","[  Position Summary/Position    Under the direction of the Data Warehouse Manager, the Data Engineer III manages the design, planning and development of Data Warehouse solutions. This role leads the ETL development, design and create procedures to acquire, harmonize, and consolidate the IEHP data assets. the Data Engineer III is expected to lead by example. The Data Engineer III leads and mentors coding activities throughout all aspects of the data warehouse function to produce efficient and high quality solutions. Major Functions (Duties and Responsibilities)    1. Design, develop and lead data warehouse Extraction, Transformation and Loading (ETL) solutions using Microsoft SQL Server Integration Services (SSIS)  2. Lead, design, develop and implement data collection processes in conjunction with the data warehouse. Source data from HSP and legacy systems supporting a centralized data warehouse and reporting platform.  3. Lead, design and implement technical solutions to meet the requirements for Data Science and Data Warehouse  4. Analyze user requirements and translate into database requirements and implement in database code  5. Manage and enforce standards on data modeling, data profiling, database design and metadata management  6. Lead and mentor tuning activities throughout all aspects of the data warehouse function to produce efficient and high quality solutions  7. Proactively design and build process to prevent potential data quality issues  8. Work closely with Data Warehouse Architect and Informatics Architect to design data and analytics solutions to increase the usability, completeness, and accuracy of enterprise data  9. Create, maintain and optimize SQL queries and routines  10. Develop, adopt, and enforce Data Warehouse and ETL standards and architecture  11. Monitor and support ETL processes ensuring integrity and proper integration of all data sources  12. Create high throughput historical and incremental ETL jobs  13. Facilitate change control, problem management, and communication among data architects, managers, informaticsts and analysts  14. Provide detailed analysis of data issues; data mapping; and the process for automation and enhancement of data quality  15. Perform development activities such as Source to target mapping validations, identify, document and execute unit test cases/scripts, peer and lead code reviews per code review checklist and document test and review results.  16. Collaborate and contribute to data integration strategies and visions  17. Ensure that all deliverables are thoroughly documented in Data Warehouse and ETL knowledge base documents  18. Provide ongoing proactive technical support for ETL and data warehouse system to ensure business continuity  19. Work with Informaticsts and Analysts to translate analytic requirements into technical solutions. Experience Qualifications    Five (5) years experience performing data warehouse development, modification and support. Three (3) years with SQL Server – SSIS. Five (5) years experience with knowledge of data warehouse technical architectures, ETL, data structures, and reporting tools and environments. Experience in code development, testing for QA, and data profiling. Must be able to perform SQL queries tuning activities. Experience in normalized, dimensional, star schema and snow flake schematic models. Experience and knowledge in logical, rational, dimensional, and physical data modeling. Experience working in a team-oriented, collaborative environment. Background in database systems. Education Qualifications    Bachelor's of Science degree from an accredited institution required. Preferred Education    Master’s of Science degree from an accredited institution preferred. Knowledge Requirement    An understanding of healthcare systems and healthcare databases desirable. Strong understanding of database structures, theories, principles, and practices. Knowledge of professional software engineering practices and best practices for the full software development life cycle (SDLC), including coding standards, code reviews, source control management, build processes, testing, and operations. Strong knowledge of SQL. Multi-server environment knowledge such as linked servers, data replication, backup/restore with MS SQL Server 2008+. Highly skilled in developing and optimizing T-SQL (DDL, DML, DCL) queries, stored procedures, functions, and views for various applications that involve numerous database tables and complex business logic. Knowledge of applicable data privacy practices and laws. Abilities Requirement    Ability to effectively prioritize and execute tasks in a high-pressure environment. Highly self motivated and directed. Keen attention to detail. Commitment to Team Culture    The IEHP Team environment requires a Team Member to participate in the IEHP Team Culture. A Team Member demonstrates support of the Culture by developing professional and effective working relationships that include elements of respect and cooperation with Team Members, Members and associates outside of our organization.     Starting Salary:  $98,612.00 - $125,777.00  Pay rate will commensurate with experience    Inland Empire Health Plan (IEHP) is the largest not-for-profit Medi-Cal and Medicare health plan in the Inland Empire. We are also one of the largest employers in the region. With a provider network of more than 6,000 and a team of more than 2,000 employees, IEHP provides quality, accessible healthcare services to more than 1.2 million members. And our mission and core values help guide us in the development of innovative programs and the creation of an award winning workplace. As the healthcare landscape is transformed, we’re ready to make a difference today and in the years to come. Join our Team and Make a Difference with us! IEHP offers a Competitive salary and a benefit package with a value estimated at 35% of the annual salary, including medical, dental, vision, team bonus, and retirement plan.  ]",12-30-2019
Data Engineer,Blue Cross and Blue Shield of Kansas City,"Kansas City, MO 64108","[    Are you interested in learning about healthcare professions and the latest healthcare innovations in the KC area? Become part of an organization that is dedicated to making a difference in both your career and community.       Job Description Summary :   The Data Engineer works collaboratively to mine and evaluate internal and external data to create insights, solutions, and visualizations for strategic Blue KC analytical priorities. This individual will develop a deep understanding of analytical technologies in order to enable Blue KC to create valuable models and insights for both external and internal stakeholders.     Job Description    1. Develop and Collaborate extensively with Business Stakeholders, IT, Data Scientists, Researchers (internal and external), and BI Analysts to deliver insights and solutions that realize business value.   2. Have a solid understanding and ability to use financial, clinical, socioeconomic, industry, and third party data to perform analysis and solve unique business problems.   3. Incorporate analytical and problem resolution skills to effectively communicate analytic findings and approaches to management and staff.   4. Ensure quality and accuracy of data used by performing analysis to measure quality of data. Validate data quality content in conjunction with respective data stewards by developing reports and tools to monitor and visualize data.   5. Develop strategies, standards, and best practices in the areas of data wrangling, data visualization, and data integration for use in analytic solutions.   6. Lead and execute activities to support bringing new data sources into Blue KC data environment. Analyze new sources of data to quantify quality, uniqueness, value and overlap with existing data sources. Collaborate extensively with IT to design data ingestion, data models, and automated operational metrics for consistent high quality data loading to Blue KC data environment.   7. Stay current with rapidly developing analytic technologies and tools. Share knowledge with other Blue KC resources. Prototype and integrate technologies and tools into analytic solutions; lead adoption of tools throughout the department.     Desired Qualifications     a. 3+ years’ relevant experience or Bachelor’s degree in computer science, information systems, business administration or other relevant academic field; or any combination of education and experience providing the types and level of knowledge, skills, and abilities required by the job.   b. Strong analytical skills for effective problem solving.   c. Ability to rapidly learn and leverage new data assets and tools.   d. Strong ability to handle and interpret a wide variety of data formats and types.   e. Experience creating impactful reports, visualizations, and interactive dashboards.   f. Experience gathering manipulating and visualizing data.   g. Experience and knowledge of Data Visualization concepts and tools such as Power BI or Tableau.   h. Excellent communication skills with the ability to explain insights to stakeholders.   i. Sensitivity to clients' needs and able to develop warm client relationships   j. Excellent collaboration skills and proactive approach to sharing knowledge with peers and cross functional teams.   k. Independent, creative, and nimble with ability to overcome obstacles to solve problems.   l. 5+ years’ relevant experience or Master’s degree in computer science, information systems, business administration or other relevant academic field; or any combination of education and experience providing the types and level of knowledge, skills, and abilities required by the job preferred   m. 2+ years’ experience with relational databases and strong knowledge of SQL preferred   n. 2+ years’ experience with health care claims and clinical data sets preferred   o. Knowledge of R, Python, and data lake concepts preferred   p. Some prior experience with NCQA’s Healthcare Effectiveness Data Information Set (HEDIS) preferred    ]",12-30-2019
Data Engineer (Hadoop Spark),ITI Data,"Chicago, IL","[   We are looking for a Data Engineer to be part of our scrum teams and perform development and coding based on Hadoop &amp; Java/Spring applications.  This is high visibility fast paced key initiative will integrate data across internal and external sources, provide analytical insights and integrate with our critical systems.   Job Duties:     Develop code and automate functional, system, integration test plans, test scripts and report defects and testing results.  Develop and execute data pipeline testing processes and validate business rules and policies  Participate in the agile development process  Document and communicate issues and bugs relative to data standards  Create and maintain an integration and regression testing framework  Develop &amp; review technical documentation for artifacts delivered  Pair up with experienced data engineers to develop cutting edge Analytic applications leveraging Big Data technologies: Hadoop, NoSQL, and In-memory Data Grids  Challenge and inspire team members to achieve business results in a fast paced and quickly changing environment  Perform other duties and/or special projects as assigned    Qualifications:     Bachelor's degree in a quantitative field (such as Engineering, Computer Science, Statistics, Econometrics) and a minimum of 5 years of experience  Minimum 2 year of experience in deployment of BI &amp; Analytics solutions using Big Data Technologies (such as - MapReduce, Kafka, HBase) in complex large-scale environments preferably (20Tb+)  Minimum 1 years of experience in at least 3 of the following: HIVE, HBase, MapReduce, Kafka, Spark, Java  Hands-on experience writing complex sql queries, extracting and importing large amounts of data  Ability to write abstracted, reusable code components  Programming experience in at least one of the following languages: Java or Python    You’re the one we’re looking for if you:     Able to quickly adapt and learn.  Able to jump into anything and able to take the lead  Able to communicate and coordinate across various teams.  Are comfortable tackling new challenges and ways of working  Are ready to move from traditional methods to agile ones  Are ready to define your career path  Are comfortable challenging your peers and leadership team  Can prove yourself quickly and decisively   Job Type: Full-time  Education:   Bachelor's (Preferred)   Work Location:   One location    ]",12-30-2019
